Question,A,B,C,D,Correct
Môi giới bất động sản bao gồm những hoạt động nào dưới đây? Trùng với câu 550,Tư vấn pháp lý liên quan đến hợp đồng bảo hiểm,Ký hợp đồng xây dựng nhà ở cho khách hàng.,Đại diện chủ đầu tư thực hiện quảng cáo dự án,"Giới thiệu, tư vấn, hỗ trợ các bên trong việc mua bán, chuyển nhượng, cho thuê, cho thuê lại, cho thuê mua bất động sản",A
Điều nào cần tránh khi làm việc với khách hàng:,Lắng nghe ý kiến khách hàng,Không ngừng nâng cao trình độ,Phân biệt đối xử khách hàng,"Cả A, B và C",A
Giá trị giao dịch liên quan đến BĐS cần phải thực hiện báo cáo trong quy định về phòng chống rửa tiền trong kinh doanh BĐS theo quy định là:,Giao dịch từ 300 triệu đồng trở lên,Giao dịch từ 400 triệu đồng trở lên,Giao dịch từ 800 triệu đồng trở lên,"Giao dịch từ 1,0 tỷ đồng trở lên",A
Mỗi lần các chuyên viên môi giới BĐS nên cho khách hàng xem BĐS từ:,Càng ít càng tốt,10 căn trở lên,1-3 căn nhà,Càng nhiều càng tốt,A
Thế chấp tài sản là gì?,Thế chấp tài sản là một bên dùng tài sản để bảo đảm thực hiện nghĩa vụ của chính mình.,Thế chấp tài sản là việc một bên dùng tài sản để bảo đảm thực hiện nghĩa vụ của chính mình hoặc của người khác.,Thế chấp tài sản là việc một bên (bên thế chấp) dùng tài sản thuộc sở hữu của mình để bảo đàm thực hiện nghĩa vụ và không giao tài sản cho bên kia (bên nhận thế chấp),Thế chấp tài sản là việc một bên (bên thế chấp) dùng tài sản thuộc sở hữu của mình dể bảo đảm thực hiện nghĩa vụ và giao tài sản cho bên kia (bên nhận thế chấp).,A
"Nếu bạn là môi giới và một trong các khách hàng của bạn từ chối không ký hợp đồng vì thấy giá trị căn hộ quá cao so với mức ngân sách, bạn sẽ:",Nói rằng đây là cơ hội duy nhất và không có căn hộ nào tốt hơn.,Thuyết phục khách hàng tăng ngân sách để mua căn hộ.,Chấp nhận yêu cầu của khách và tìm căn hộ khác.,Khuyến khách hàng giữ nguyên giá rồi mua.,A
"Trong trường hợp môi giới đại diện cho bên bán nhưng lại cố tình giới thiệu bất động sản giá cao hơn thị trường để nhận thêm tiền từ người bán mà không báo cho người mua, môi giới đã vi phạm nguyên tắc nào?",Nguyên tắc Chuyên môn.,Nguyên tắc Trung thành và Minh bạch.,Nguyên tắc Bảo mật.,Không vi phạm vì đó là kỹ năng đàm phán.,A
"Khách hàng có vẻ chưa thích thú với sản phẩm bất động sản bạn giới thiệu, bạn sẽ:",Đưa thêm nhiều sản phẩm khác,Tìm hiểu lý do họ không lựa chọn sản phẩm địa ốc này và lựa chọn sản phẩm phù hợp hơn để giới thiệu,Hạ giá bán sản phẩm.,Tất cả đều sai.,A
"Khi bạn giới thiệu một bất động sản cho khách hàng, bạn có nghĩa vụ gì về tính minh bạch của thông tin?",Không cần phải báo cáo thông tin về các vấn đề pháp lý nếu khách hàng không yêu cầu.,"Phải cung cấp thông tin đầy đủ, chính xác và không gây hiểu lầm cho khách hàng.","Chỉ cung cấp thông tin cơ bản, không cần giải thích chi tiết.",Chỉ cần giới thiệu các bất động sản mà bạn có hoa hồng cao.,A
"Khi thuyết phục người mua tăng giá, nhà môi giới dựa vào các yếu tố:",Ưu điểm của bất động sản,Tín hiệu tốt trong tăng trưởng của nền kinh tế,Nói thật những khuyết điểm bất động sản,Tất cả đều sai,A
"Khi thuyết phục người bán giảm giá, nhà môi giới dựa vào các yếu tố:",Ưu điểm của bất động sản,Nền kinh tế tăng trưởng chậm,Khuyết điểm bất động sản,Đáp án B và C,A
"Những tiện ích của BĐS so với thời gian có thể liệt kê trong ""kỹ thuật nhân"" khi đàm phán về giá cả BĐS:",Tỉ giá quy đổi ra vàng tại thời điểm mua,"Các điểm đắc địa của BĐS, giá trị sử dụng tăng thêm do sử dụng vật tư cao cấp, giá trị tăng thêm của BĐS","Môi trường sinh sống sạch sẽ, khu vực an ninh, giao thông tiện lợi, gần bệnh viện trường học",Cả B và C,A
Nội dung nào là hoạt động của sàn giao dịch bất động sản?,Kiểm tra tính pháp lý và điều kiện đưa vào kinh doanh đối với các bất động sản đưa vào giao dịch thông qua sàn giao dịch bất động sản,"Thực hiện dịch vụ môi giới bất động sản, hỗ trợ các bên trong việc đàm phán, thương thảo giao dịch bất động sản","Thực hiện dịch vụ, hỗ trợ các bên lập và ký kết hợp đồng giao dịch bất động sản","Cả đáp án A, B và C đều đúng",A
"Trong giao dịch bất động sản, việc xác định tình trạng hôn nhân theo quy định của pháp luật Việt Nam là như thế nào?",Bắt buộc,Không bắt buộc,Chỉ yêu cầu khi cần thiết,Chỉ cần kê khai,A
"Nếu bạn là môi giới và một trong các khách hàng của bạn từ chối ký hợp đồng vì thấy giá trị căn hộ quá cao so với mức ngân sách, bạn sẽ:",Thuyết phục khách hàng tăng ngân sách để mua căn hộ.,Khuyên khách hàng đợi giảm giá rồi mua.,Chấp nhận yêu cầu của khách và tìm căn hộ khác.,Nói rằng đây là cơ hội duy nhất và không có căn hộ nào tốt hơn.,A
Sàn giao dịch bất động sản phải đáp ứng điều kiện gì?,"Phải có giấy phép hoạt động của sàn giao dịch bất động sản và đáp ứng các yêu cầu về cơ sở vật chất, kỹ thuật.",Phải có trụ sở tại các thành phố lớn.,Phải có chứng chỉ hành nghề cho tất cả nhân viên trong sàn.,Phải có ít nhất 3 nhân viên môi giới và 1 giám đốc sàn.,A
"Theo Luật Kinh doanh bất động sản 2023, mức hoa hồng môi giới bất động sản được xác định dựa trên cơ sở nào?",Do cơ quan quản lý nhà nước về kinh doanh bất động sản quy định.,Do hiệp hội bất động sản tại địa phương quy định theo từng quý.,"Do các bên thỏa thuận và được ghi trong hợp đồng, không phụ thuộc vào giá của giao dịch.",Cố định ở mức 2% trên tổng giá trị giao dịch.,A
"Khách hàng yêu cầu bạn tìm một căn hộ giá rẻ ở trung tâm thành phố, nhưng ngân sách của họ không đủ để mua bất động sản đó. Bạn sẽ làm gì? Trùng với câu 647",Giới thiệu căn hộ cao cấp hơn để khách hàng có thể vay nhiều tiền hơn.,Thuyết phục khách hàng chọn khu vực ngoại thành để phù hợp với ngân sách.,Từ chối yêu cầu của khách hàng vì ngân sách không đủ.,Tìm căn hộ ở trung tâm thành phố và yêu cầu khách hàng vay thêm tiền.,A
Chứng chỉ hành nghề môi giới bất động sản có thời hạn sử dụng là bao lâu theo quy định hiện hành?,02 năm.,03 năm.,05 năm.,Vô thời hạn.,A
Bất động sản được phân loại là bất động sản dịch vụ bao gồm:,"Văn phòng, cửa hàng, siêu thị, kho, bãi.","Khách sạn, nhà nghỉ hay nhà trọ, nhà liền kề, nhà xưởng","Khách sạn, nhà nghỉ, văn phòng, cửa hàng, siêu thị","Văn phòng, cửa hàng, siêu thị, nhà liền kề hay nhà vườn",A
Yếu tố ảnh hưởng đến cầu bất động sản là?,Tăng trưởng về dân số và các nhu cầu phát triển,Thu nhập của dân cư,Kế hoạch phát triển kinh tế xã hội của chính phủ,"Cả đáp án A, B và C đều đúng",A
"Trong môi giới bất động sản dự án, tiếp nhận sản phẩm là bước đầu tiên để nhân viên kinh doanh có thể?",Am hiểu về khách hàng,Am hiểu về sản phẩm và am hiểu về chủ đầu tư,Am hiểu về đối thủ cạnh tranh,Am hiểu về thị trường,A
Thời điểm xác định bên môi giới được hưởng hoa hồng thường là khi nào (nếu không có thỏa thuận khác)?,Khi tìm được khách hàng tiềm năng.,Khi khách hàng ký hợp đồng đặt cọc.,Khi giao dịch giữa bên mua và bên bán thành công (ký hợp đồng mua bán/chuyển nhượng).,Ngay sau khi ký hợp đồng dịch vụ môi giới.,A
Hoạt động về môi giới bất động sản thuộc loại hình kinh doanh nào?,Đầu tư bất động sản,Kinh doanh bất động sản,Kinh doanh dịch vụ bất động sản,Quản lý bất động sản,A
Chủ đầu tư khi bán BĐS nộp những loại thuế gì sau đây?,Thuế thu nhập doanh nghiệp.,Thuế chuyển nhượng BĐS.,Thuế VAT,Lệ phí trước bạ.,A
"Là một nhà môi giới bất động sản chuyên nghiệp, trong cách giao tiếp và ứng xử với đồng nghiệp cần phải:","Phải có thái độ lịch sự, tôn trọng, trung thực, thân thiện, hợp tác và tạo môi trường cạnh tranh lành mạnh.",Nhà môi giới phải cộng tác với nhà môi giới khác cũng phải đảm bảo nguyên tắc vì quyền lợi tốt nhất cho khách hàng của mình. Sự hợp tác đó phải vô tư và không vì động cơ chia sẻ quyền lợi.,"Tôn trọng quyền lựa chọn nhà môi giới của khách hàng, trong trường hợp khách hàng không muốn tiếp tục làm việc với mình và có nhu cầu chuyển sang làm việc với nhà môi giới khác thì không được có thái độ bài trừ, bất hợp tác hay những hành vi không tốt với nhà môi giới mà khách hàng lựa chọn, ngoại trừ việc yêu cầu khách hàng tuân thủ việc thanh lý Hợp đồng đã ký.","Đáp án A, B và C",A
"Là một nhà môi giới bất động sản chuyên nghiệp, trong giao tiếp và ứng xử với đối thủ cạnh tranh cần phải:",Chào hàng theo kiểu phá giá.,Thực hiện các hành vi không lành mạnh để ngăn cản đối thủ ký kết hợp đồng dịch vụ.,"Tung tin, nói xấu, vu cáo đối thủ cạnh tranh.",Tất cả đều sai.,A
"Trong quá trình giới thiệu bất động sản cho khách hàng, bạn phát hiện một số thông tin quan trọng có sai sót (như diện tích thực tế nhỏ hơn quảng cáo). Bạn sẽ làm gì?",Thông báo ngay cho khách hàng về sự khác biệt và giải thích rõ ràng.,Từ chối giao dịch để tránh gây rắc rối.,Chỉ thông báo cho khách hàng nếu họ hỏi.,Giấu thông tin để không làm khách hàng thất vọng.,A
"Là một nhà môi giới bất động sản chuyên nghiệp, các anh chị có được phép:",Tiết lộ thông tin về khách hàng và bất động sản khi chưa được sự đồng ý của khách hàng và những thông tin nằm ngoài phạm vi công việc đã thỏa thuận với khách hàng trong hợp đồng.,Đưa những thông tin về khách hàng và bất động sản của nhà môi giới khác đang làm đại diện giao dịch mà chưa được sự đồng ý.,Cả A và B đều không được.,Cả A và B đều đúng.,A
Khách hàng của bạn liên hệ với bên bán sau khi được bạn giới thiệu và giao dịch trực tiếp để tránh trả phí môi giới. Bạn sẽ làm gì?,Bỏ qua vì không thể làm gì.,Cắt đứt quan hệ với cả hai bên.,Đăng thông tin khách hàng lên mạng để cảnh báo.,Yêu cầu bên mua/bên bán thanh toán phí môi giới như đã thỏa thuận.,A
"Để đảm bảo thể hiện năng lực chuyên môn khi hành nghề, các nhà môi giới bất động sản phải:",Nhà môi giới phải thực hiện đúng quy trình nghiệp vụ khi làm việc.,"Nhà môi giới phải đảm bảo nghiệp vụ và năng lực chuyên môn. Khi tiến hành giao dịch phải có sự cẩn trọng cao nhất và làm việc với tinh thần trung thực, tận tâm, trách nhiệm với khách hàng.",Nhà môi giới phải cập nhật những thay đổi về tình hình thị trường và các quy định của pháp luật có liên quan đến nghiệp vụ.,"Cả A, B và C",A
